Geneid,Test_Sample1,Test_Sample2,Test_Sample3,Control_Sample1,Control_Sample2,Control_Sample3
ENSMUSG00000101846,0,0,0,0,0,0
ENSMUSG00000090243,0,0,0,19,0,1
ENSMUSG00000100701,2,0,0,0,0,2
ENSMUSG00000100555,0,0,0,0,0,1
ENSMUSG00000101395,0,0,0,0,0,0
ENSMUSG00000102728,0,0,0,0,0,0
ENSMUSG00000088848,0,0,0,0,0,0
ENSMUSG00002075225,0,0,0,0,0,0
ENSMUSG00000038702,100,116,174,52,102,0
ENSMUSG00000101875,0,6,1,0,0,0
ENSMUSG00000099732,0,0,0,0,0,0
ENSMUSG00000101220,0,0,0,0,0,40
ENSMUSG00000100020,0,0,0,0,0,0
ENSMUSG00000101054,0,0,0,0,0,0
ENSMUSG00000088691,0,0,0,0,0,0
ENSMUSG00000099884,0,0,0,0,0,0
ENSMUSG00000100304,0,0,0,0,0,0
ENSMUSG00000101453,0,0,0,0,0,0
ENSMUSG00000102105,0,0,0,0,0,0
ENSMUSG00000099943,0,0,0,0,0,0
ENSMUSG00002075119,0,0,0,0,0,0
ENSMUSG00000097648,0,0,0,0,0,0
ENSMUSG00000101687,0,0,0,0,0,0
ENSMUSG00000055214,0,0,0,0,0,0
ENSMUSG00000078184,0,0,0,0,0,0
ENSMUSG00000104363,0,0,0,0,0,0
ENSMUSG00000103277,0,0,0,0,0,0
ENSMUSG00000104157,0,0,0,0,0,0
ENSMUSG00000102446,0,0,0,0,0,0
ENSMUSG00000104248,0,0,0,0,0,0
ENSMUSG00000104021,0,0,0,0,0,0
ENSMUSG00000103471,0,0,0,0,0,0
ENSMUSG00000087875,0,0,0,0,0,0
ENSMUSG00000033007,0,0,0,0,0,0
ENSMUSG00000070695,0,0,0,0,0,0
ENSMUSG00000025909,0,0,0,0,2,0
ENSMUSG00002076179,0,0,0,0,0,0
ENSMUSG00000102033,0,0,0,0,0,0
ENSMUSG00000102647,0,0,0,0,0,0
ENSMUSG00000086235,0,0,56,2,0,0
ENSMUSG00000102253,0,0,0,0,0,0
ENSMUSG00002074990,0,0,0,0,0,0
ENSMUSG00000094429,0,0,0,0,0,0
ENSMUSG00000103884,0,0,0,0,0,0
ENSMUSG00000084353,8,4,0,0,18,0
ENSMUSG00000103933,0,1,0,0,0,0
ENSMUSG00002075967,0,0,0,0,0,0
ENSMUSG00000086195,0,0,0,0,0,0
ENSMUSG00000104504,0,0,0,0,0,0
ENSMUSG00000066693,0,0,0,0,0,0
ENSMUSG00000102316,0,0,0,0,0,0
ENSMUSG00000103819,0,0,0,0,0,0
ENSMUSG00000102871,0,0,0,0,0,0
ENSMUSG00000101571,0,0,0,0,0,0
ENSMUSG00000104428,0,0,0,0,0,0
ENSMUSG00000102272,0,0,0,0,0,0
ENSMUSG00000065625,0,0,0,0,0,0
ENSMUSG00000103411,0,0,0,0,0,0
ENSMUSG00000061024,22,134,0,59,261,278
ENSMUSG00000102030,0,0,0,0,0,0
ENSMUSG00000025911,0,48,56,95,0,74
ENSMUSG00000081441,23,1,60,48,0,1
ENSMUSG00000067879,0,0,0,0,0,26
ENSMUSG00000099827,0,0,0,0,0,0
ENSMUSG00000057335,3868,3670,4711,2847,3006,3027
ENSMUSG00000103634,164,98,0,0,152,50
ENSMUSG00000104154,38,148,71,66,17,92
ENSMUSG00000103435,12,2,14,0,0,0
ENSMUSG00000065573,0,0,24,0,0,0
ENSMUSG00002076271,24,0,0,0,0,0
ENSMUSG00000100551,0,0,0,0,0,0
ENSMUSG00000100357,0,0,0,0,0,0
ENSMUSG00000025912,220,144,549,118,119,32
ENSMUSG00000045210,2153,1493,1943,1190,1460,1716
ENSMUSG00000041763,3134,2269,2850,1825,1978,3101
ENSMUSG00000026504,324,280,311,413,209,213
ENSMUSG00000103367,0,0,0,0,0,0
ENSMUSG00000103584,0,0,0,0,0,0
ENSMUSG00002076339,0,0,0,34,0,34
ENSMUSG00000102475,23,35,0,0,58,0
ENSMUSG00000047343,0,149,66,116,144,35
ENSMUSG00000102211,48,20,3,8,0,0
ENSMUSG00000087082,68,7,70,92,70,36
ENSMUSG00000090106,0,0,0,0,0,0
ENSMUSG00000103251,250,98,307,10,0,18
ENSMUSG00000091844,0,0,0,78,76,40
ENSMUSG00000026483,1394,767,1908,787,1106,621
ENSMUSG00000082528,0,0,0,0,0,0
ENSMUSG00000082012,0,0,0,0,0,0
ENSMUSG00000099996,0,0,0,0,0,0
ENSMUSG00000101763,0,0,0,0,0,0
ENSMUSG00000100827,0,0,0,0,0,0
ENSMUSG00000100553,0,0,0,0,0,0
ENSMUSG00000098611,0,0,0,0,0,0
ENSMUSG00000100534,0,0,0,0,0,0
ENSMUSG00000102904,0,0,0,0,0,0
ENSMUSG00002076350,0,0,0,0,0,0
ENSMUSG00000019699,1794,1614,1932,1201,891,1063
ENSMUSG00000104391,55,22,15,1,1,131
ENSMUSG00000102133,0,0,38,30,34,0
ENSMUSG00000102749,44,0,0,40,0,0
ENSMUSG00000103163,0,0,58,0,0,0
ENSMUSG00000103646,0,105,106,258,135,0
ENSMUSG00000102427,0,0,87,54,130,22
ENSMUSG00000103633,0,0,0,0,0,0
ENSMUSG00000097892,0,0,0,0,0,0
ENSMUSG00000063659,1139,1973,1291,1350,1473,1611
ENSMUSG00000102432,0,0,0,0,0,0
ENSMUSG00000103043,0,0,20,31,0,0
ENSMUSG00000102885,0,0,0,0,0,0
ENSMUSG00000026049,50,100,110,106,0,50
ENSMUSG00000103767,0,0,0,0,0,0
ENSMUSG00000043019,1883,995,1127,1207,823,846
ENSMUSG00000101104,0,0,0,0,0,0
ENSMUSG00000015962,0,0,0,0,0,0
ENSMUSG00000032666,163,569,417,330,4,265
ENSMUSG00000084557,0,0,0,0,0,0
ENSMUSG00000100685,0,0,0,0,0,0
ENSMUSG00000102090,0,0,0,0,0,0
ENSMUSG00000103744,0,0,0,0,0,0
ENSMUSG00000015961,2320,1267,2317,1253,1605,1432
ENSMUSG00000089657,0,0,27,3,62,0
ENSMUSG00000102483,0,0,0,0,0,0
ENSMUSG00000014980,128,0,58,66,147,96
ENSMUSG00000026235,60,0,0,0,0,0
ENSMUSG00000099141,0,0,0,0,0,0
ENSMUSG00000032649,28,0,0,0,0,0
ENSMUSG00000101849,0,0,0,0,0,0
ENSMUSG00000101506,0,0,0,0,0,0
ENSMUSG00000065215,0,0,0,0,0,0
ENSMUSG00000102052,0,0,0,0,0,0
ENSMUSG00000026047,52,116,145,100,11,138
ENSMUSG00000080878,0,0,0,0,0,0
ENSMUSG00000091476,250,66,482,0,0,0
ENSMUSG00000104097,0,0,0,0,34,0
ENSMUSG00000119789,0,0,0,0,0,0
ENSMUSG00000102493,40,0,0,0,0,0
ENSMUSG00000004872,0,0,0,1,41,0
ENSMUSG00000118426,0,0,0,0,0,0
ENSMUSG00000041684,188,231,206,0,152,271
ENSMUSG00000032908,1,60,20,40,0,44
ENSMUSG00000099561,0,0,0,0,0,0
ENSMUSG00000102945,0,0,0,0,0,0
ENSMUSG00000026502,1405,647,939,750,434,617
ENSMUSG00000103958,0,0,0,0,0,0
ENSMUSG00000104126,8,2,7,4,2,4
ENSMUSG00000026500,0,0,0,0,0,0
ENSMUSG00000026048,150,114,248,167,56,156
ENSMUSG00000046828,0,0,0,0,0,0
ENSMUSG00000089703,0,0,0,0,0,0
ENSMUSG00000100966,0,0,0,0,0,0
ENSMUSG00000100769,0,0,0,0,0,0
ENSMUSG00000101567,0,0,0,0,0,1
ENSMUSG00000026245,1349,844,1139,851,411,785
ENSMUSG00000101798,0,0,0,0,0,0
ENSMUSG00000104018,42,44,0,22,72,34
ENSMUSG00000090486,0,0,0,0,0,0
ENSMUSG00000026482,668,697,239,616,693,761
ENSMUSG00000086145,0,0,0,0,0,0
ENSMUSG00000080950,0,0,0,0,0,0
ENSMUSG00000099868,0,0,0,0,0,0
ENSMUSG00000055547,0,0,0,0,0,0
ENSMUSG00000012187,0,0,0,0,0,0
ENSMUSG00000008475,5609,4269,5362,3106,4143,4378
ENSMUSG00000099364,0,0,0,0,0,0
ENSMUSG00000100562,0,0,0,0,0,0
ENSMUSG00000056870,0,0,0,0,0,0
ENSMUSG00000102319,0,0,0,0,0,0
ENSMUSG00000089877,0,0,0,0,0,0
ENSMUSG00000101701,0,0,0,0,0,0
ENSMUSG00000103071,2,0,0,0,0,2
ENSMUSG00000100434,0,0,0,0,0,0
ENSMUSG00000100013,0,0,0,0,0,0
ENSMUSG00000101251,0,0,0,0,0,0
ENSMUSG00000101937,0,0,0,0,0,0
ENSMUSG00000039630,7916,5598,6766,4953,5393,6667
ENSMUSG00000104279,0,0,0,0,0,0
ENSMUSG00002075531,0,0,0,0,0,0
ENSMUSG00000064954,0,0,0,0,0,0
ENSMUSG00000026495,0,0,0,0,52,0
ENSMUSG00000032883,444,201,401,314,620,318
ENSMUSG00000026480,2792,3092,3529,3049,3096,2969
ENSMUSG00000026494,48,0,0,0,40,0
ENSMUSG00000064967,0,0,0,0,0,0
ENSMUSG00000102922,0,0,0,0,0,0
ENSMUSG00000025915,1043,973,1088,1054,930,870
ENSMUSG00000089713,0,0,0,0,0,0
ENSMUSG00000079470,742,390,629,602,700,553
ENSMUSG00000099377,0,2,0,0,0,2
ENSMUSG00000099706,0,0,0,0,0,0
ENSMUSG00000047330,0,0,0,0,0,0
ENSMUSG00000101324,0,0,0,0,0,0
ENSMUSG00000072978,1,0,1,0,0,25
ENSMUSG00000046334,0,0,0,0,0,0
ENSMUSG00002075801,0,0,0,71,0,68
ENSMUSG00000050711,0,0,0,0,0,0
ENSMUSG00000099562,0,0,0,0,0,0
ENSMUSG00000077782,0,0,0,0,0,0
ENSMUSG00000055067,255,218,167,133,95,127
ENSMUSG00000054702,125,424,685,112,80,392
ENSMUSG00000096474,4,0,8,6,4,3
ENSMUSG00000102235,155,32,8,0,43,59
ENSMUSG00000026492,320,113,100,311,390,298
ENSMUSG00000082395,0,0,43,0,0,0
ENSMUSG00000038949,227,229,288,31,154,281
ENSMUSG00000026043,0,0,0,0,0,0
ENSMUSG00000046101,102,0,0,42,0,0
ENSMUSG00002074901,0,0,0,0,0,0
ENSMUSG00000093178,0,0,0,0,0,0
ENSMUSG00000099032,0,0,0,0,56,0
ENSMUSG00000104025,0,0,0,0,0,0
ENSMUSG00000038936,104,60,0,36,196,52
ENSMUSG00000042772,1871,1803,1834,1113,772,1281
ENSMUSG00000100394,57,0,60,80,0,0
ENSMUSG00000103840,0,0,0,0,0,0
ENSMUSG00000087236,0,0,0,0,0,0
ENSMUSG00000100702,0,0,0,0,0,0
ENSMUSG00000026042,0,0,0,0,0,0
ENSMUSG00000104476,58,0,0,0,0,0
ENSMUSG00000073643,590,572,452,142,557,430
ENSMUSG00000104497,0,0,0,0,0,0
ENSMUSG00000025916,0,0,0,0,0,0
ENSMUSG00000087199,0,0,0,0,0,0
ENSMUSG00000026248,0,32,114,0,0,38
ENSMUSG00000119658,0,0,0,0,0,0
ENSMUSG00000026249,87,0,0,5,0,0
ENSMUSG00000042751,0,0,0,0,0,0
ENSMUSG00000067106,0,1,14,0,2,1
ENSMUSG00000099969,0,0,0,0,0,0
ENSMUSG00000100397,1,0,0,0,0,1
ENSMUSG00000099753,0,0,0,0,0,0
ENSMUSG00000118883,0,0,0,0,0,0
ENSMUSG00000102518,0,0,0,0,30,0
ENSMUSG00000099552,0,0,0,0,0,0
ENSMUSG00000043230,0,0,0,0,0,0
ENSMUSG00000103404,0,0,0,0,0,0
ENSMUSG00000026491,1471,1056,939,1130,1017,1474
ENSMUSG00000073486,0,0,0,0,0,0
ENSMUSG00000025917,408,169,337,179,287,275
ENSMUSG00000104418,0,0,0,42,0,2
ENSMUSG00000026479,0,0,50,0,0,30
ENSMUSG00000004364,1747,1126,1739,952,1524,1394
ENSMUSG00000103076,84,116,114,193,146,0
ENSMUSG00000103525,0,4,34,0,74,0
ENSMUSG00000101722,0,0,0,0,0,0
ENSMUSG00000090637,0,0,0,0,0,0
ENSMUSG00000026478,1060,1017,934,663,780,1088
ENSMUSG00000110100,0,0,0,0,0,0
ENSMUSG00000103818,0,0,0,58,0,0
ENSMUSG00000079138,52,0,50,44,0,0
ENSMUSG00000042708,0,0,0,18,53,30
ENSMUSG00000064435,0,0,0,0,0,0
ENSMUSG00000103543,0,0,0,0,0,0
ENSMUSG00000099432,0,0,0,0,0,0
ENSMUSG00000041144,0,0,0,0,0,0
ENSMUSG00000119743,0,0,0,0,0,0
ENSMUSG00000042699,2560,2005,2122,1855,1737,1632
ENSMUSG00000101262,0,1,0,0,0,0
ENSMUSG00000042684,10,64,88,0,126,0
ENSMUSG00000099858,58,0,3,0,4,3
ENSMUSG00000101337,0,0,1,0,0,9
ENSMUSG00000025986,1137,1144,1129,681,373,513
ENSMUSG00000100213,0,27,0,2,16,36
ENSMUSG00000103129,0,0,0,0,0,0
ENSMUSG00000100160,0,0,0,0,0,0
ENSMUSG00000101921,0,0,0,0,0,0
ENSMUSG00000101447,0,0,0,0,0,1
ENSMUSG00000081185,0,0,0,0,0,0
ENSMUSG00000103246,0,0,0,0,0,0
ENSMUSG00000098876,0,0,0,0,0,0
ENSMUSG00000100530,0,0,0,0,0,0
ENSMUSG00000104067,0,0,0,0,0,0
ENSMUSG00000100033,0,1,1,0,1,51
ENSMUSG00002075213,0,0,0,0,0,0
ENSMUSG00002076633,0,0,0,0,0,0
ENSMUSG00000101996,0,0,0,0,0,0
ENSMUSG00000096973,0,0,0,0,0,0
ENSMUSG00000064943,0,0,0,0,0,0
ENSMUSG00000100866,0,0,0,0,0,0
ENSMUSG00000101721,0,0,0,0,0,0
ENSMUSG00000099376,0,0,0,0,0,0
ENSMUSG00000097883,0,0,0,0,0,0
ENSMUSG00002076043,0,0,0,0,0,0
ENSMUSG00000099698,0,0,0,0,0,0
ENSMUSG00000056763,999,507,653,586,406,418
ENSMUSG00000099454,0,0,0,0,0,0
ENSMUSG00000051616,0,0,0,0,0,0
ENSMUSG00000099627,0,0,0,0,0,0
ENSMUSG00000099577,0,0,0,0,0,0
ENSMUSG00000099882,0,0,0,0,0,0
ENSMUSG00000101760,0,0,0,0,0,0
ENSMUSG00000102356,0,0,36,0,0,0
ENSMUSG00000099608,0,0,0,0,0,0
ENSMUSG00000099864,0,0,0,0,0,0
ENSMUSG00002075839,0,0,0,0,0,0
ENSMUSG00000100451,0,0,0,0,0,0
ENSMUSG00000099941,0,0,0,0,0,0
ENSMUSG00002075589,0,0,0,0,0,0
ENSMUSG00000100816,0,0,0,0,0,0
ENSMUSG00000042671,0,0,0,1,0,0
ENSMUSG00000100945,0,0,0,0,0,0
ENSMUSG00000102404,0,0,0,0,0,0
ENSMUSG00000100334,0,0,0,0,0,0
ENSMUSG00000026109,0,0,0,0,0,0
ENSMUSG00000026475,46,48,62,11,66,1
ENSMUSG00000099568,0,0,0,11,0,1
ENSMUSG00000100671,0,0,0,0,0,0
ENSMUSG00002075527,0,0,0,0,0,0
ENSMUSG00000101242,0,0,0,0,0,0
ENSMUSG00000099924,0,0,0,0,0,0
ENSMUSG00000099625,0,0,0,0,0,0
ENSMUSG00000101799,0,0,0,0,0,0
ENSMUSG00000045954,0,0,0,0,0,0
ENSMUSG00000099741,0,0,0,0,0,0
ENSMUSG00000101702,0,0,0,0,0,0
ENSMUSG00000066800,239,450,215,445,224,223
ENSMUSG00000100183,0,0,1,1,0,0
ENSMUSG00000067851,3030,2353,2302,2227,2092,2243
ENSMUSG00002076532,0,0,0,0,0,0
ENSMUSG00000102556,0,108,0,31,0,0
ENSMUSG00000038608,7670,6817,9181,3746,4159,4369
ENSMUSG00000042501,0,0,0,0,0,0
ENSMUSG00000103810,0,0,0,0,0,0
ENSMUSG00000083422,0,0,28,7,0,0
ENSMUSG00000119312,0,0,0,0,0,0
ENSMUSG00000042641,0,0,0,0,0,0
ENSMUSG00000081417,0,0,0,0,0,0
ENSMUSG00000103448,0,0,0,0,0,0
ENSMUSG00000103192,325,140,148,120,214,222
ENSMUSG00000104488,501,516,169,485,250,218
ENSMUSG00000100212,0,0,0,0,0,0
ENSMUSG00000102721,380,529,379,223,183,0
ENSMUSG00000100648,0,0,0,56,0,0
ENSMUSG00002076499,0,0,0,0,0,0
ENSMUSG00000099949,0,0,0,0,0,0
ENSMUSG00000099918,0,0,0,0,0,0
ENSMUSG00000045968,0,26,0,0,0,0
ENSMUSG00000043282,0,0,0,0,0,0
ENSMUSG00000102459,0,0,0,0,0,0
ENSMUSG00000047053,0,0,0,0,0,0
ENSMUSG00000099227,0,0,0,0,0,0
ENSMUSG00000026107,758,772,731,722,1023,817
ENSMUSG00000099413,0,0,0,31,1,0
ENSMUSG00000103424,0,0,0,0,0,0
ENSMUSG00000054976,0,0,0,0,0,0
ENSMUSG00000104029,0,0,0,0,0,0
ENSMUSG00000101986,0,0,0,0,0,0
ENSMUSG00000087008,0,0,0,0,0,1
ENSMUSG00000026473,10103,5235,13236,7348,6660,7703
ENSMUSG00000100014,0,0,0,0,0,0
ENSMUSG00000101903,0,0,22,0,42,0
ENSMUSG00000100502,0,0,0,0,0,0
ENSMUSG00000088669,0,0,0,0,0,0
ENSMUSG00000066797,0,0,0,0,0,0
ENSMUSG00000048960,0,0,0,23,0,0
ENSMUSG00000099933,0,0,0,0,0,0
ENSMUSG00000100221,0,0,0,0,0,0
ENSMUSG00002076439,0,0,0,0,0,0
ENSMUSG00000100031,0,0,0,0,0,0
ENSMUSG00000077318,0,0,0,0,0,0
ENSMUSG00000101827,1,0,0,0,0,0
ENSMUSG00000103494,0,0,0,0,0,22
ENSMUSG00000067158,0,0,0,140,57,0
ENSMUSG00000079465,0,0,0,58,0,0
ENSMUSG00002075966,0,0,0,0,0,0
ENSMUSG00000097564,0,0,0,0,0,0
ENSMUSG00000101880,0,0,0,0,52,0
ENSMUSG00000101433,0,0,0,0,0,0
ENSMUSG00000096950,0,0,0,0,0,0
ENSMUSG00000056708,495,349,233,313,637,240
ENSMUSG00000026471,178,198,60,52,137,70
ENSMUSG00000057715,0,0,0,0,0,0
ENSMUSG00000026470,377,765,343,471,575,355
ENSMUSG00000103825,0,0,0,0,0,0
ENSMUSG00000099845,0,0,0,0,0,0
ENSMUSG00000103561,0,0,0,0,0,0
ENSMUSG00000101610,0,0,0,0,0,0
ENSMUSG00000104181,18,0,0,1,0,38
ENSMUSG00000118923,0,0,0,0,0,0
ENSMUSG00000098555,0,0,0,0,0,0
ENSMUSG00000097628,0,0,0,0,0,0
ENSMUSG00000098163,0,0,0,0,0,0
ENSMUSG00000097171,0,0,0,0,0,0
ENSMUSG00000101314,0,0,0,0,0,0
ENSMUSG00000033722,0,0,0,33,0,0
ENSMUSG00000103670,0,0,0,0,0,0
ENSMUSG00000026150,1579,796,856,831,624,1177
ENSMUSG00000101450,78,104,46,98,55,12
ENSMUSG00000026149,59,164,24,0,22,0
ENSMUSG00000114299,0,0,0,0,0,0
ENSMUSG00000099771,0,0,0,0,0,0
ENSMUSG00000102280,0,0,0,0,0,0
ENSMUSG00000100170,0,0,0,0,0,0
ENSMUSG00000100744,0,0,0,0,0,0
ENSMUSG00002074851,0,0,0,0,0,0
ENSMUSG00000026469,6638,6942,9824,5295,5226,5886
ENSMUSG00002076398,0,0,0,0,0,0
ENSMUSG00000018417,301,285,208,147,238,50
ENSMUSG00000101724,0,64,0,0,0,0
ENSMUSG00000100313,0,0,0,2,0,0
ENSMUSG00000100696,0,0,0,0,0,0
ENSMUSG00002075355,0,0,0,0,0,0
ENSMUSG00000072324,0,1,1,0,0,0
ENSMUSG00000026490,95,104,146,92,104,232
ENSMUSG00000033701,100,216,219,225,0,224
ENSMUSG00000102194,1,0,0,0,0,0
ENSMUSG00000103636,0,0,0,44,0,0
ENSMUSG00000026468,0,0,0,0,0,0
ENSMUSG00000103180,0,0,0,0,0,0
ENSMUSG00000062939,0,0,0,0,0,0
ENSMUSG00000101628,0,0,0,0,0,0
ENSMUSG00000078291,0,0,0,0,0,0
ENSMUSG00000109599,0,0,0,0,0,0
ENSMUSG00000033684,128,86,225,120,32,189
ENSMUSG00000102299,0,0,0,0,0,0
ENSMUSG00000102558,0,0,0,0,15,0
ENSMUSG00000016918,0,0,0,0,0,0
ENSMUSG00000033671,5047,3906,4114,2736,3279,3576
ENSMUSG00000103717,0,0,66,0,0,0
ENSMUSG00000103771,0,0,0,0,0,0
ENSMUSG00000102837,0,0,0,0,78,0
ENSMUSG00000077419,0,0,0,0,0,0
ENSMUSG00000102833,0,0,0,0,13,0
ENSMUSG00000026489,203,61,91,0,0,80
ENSMUSG00000104520,0,6,0,0,0,0
ENSMUSG00000025938,0,6,0,0,22,0
ENSMUSG00000026159,1229,1191,1819,955,746,1231
ENSMUSG00000104518,0,0,0,0,0,0
ENSMUSG00000069620,0,0,0,0,0,0
ENSMUSG00000099498,0,0,0,0,0,0
ENSMUSG00000113880,0,0,0,0,0,42
ENSMUSG00000113973,0,0,0,0,0,0
ENSMUSG00000113846,0,0,0,0,0,0
ENSMUSG00000113084,0,0,0,0,0,0
ENSMUSG00000042414,0,0,0,0,0,0
ENSMUSG00000113925,0,0,0,0,0,0
ENSMUSG00000114011,0,0,0,0,0,0
ENSMUSG00000113097,0,0,0,0,0,0
ENSMUSG00000101784,0,0,0,0,0,0
ENSMUSG00000038496,0,0,0,0,0,0
ENSMUSG00000100432,0,0,0,0,0,0
ENSMUSG00000100190,0,0,0,0,0,0
ENSMUSG00000113267,0,0,0,0,0,0
ENSMUSG00000104423,0,0,0,0,0,0
ENSMUSG00000101315,0,0,0,0,0,0
ENSMUSG00000099691,0,0,0,0,0,0
ENSMUSG00000026166,0,0,0,0,0,0
ENSMUSG00000101173,0,0,0,0,0,0
ENSMUSG00000053161,0,0,0,0,0,0
ENSMUSG00000101896,0,0,0,0,0,0
ENSMUSG00002075005,0,0,0,0,0,0
ENSMUSG00000026466,2086,1414,1951,1249,1400,1241
ENSMUSG00000102964,256,264,185,0,56,138
ENSMUSG00000010609,264,638,801,636,405,548
ENSMUSG00000026163,0,0,0,0,0,0
ENSMUSG00000079140,0,0,0,0,0,0
ENSMUSG00000104374,0,0,0,0,0,0
ENSMUSG00000104219,0,0,0,0,0,0
ENSMUSG00000100580,0,0,0,0,0,0
ENSMUSG00000038855,2227,2045,3103,1937,1998,2059
ENSMUSG00002076780,0,0,0,0,0,0
ENSMUSG00000104388,728,657,650,335,478,782
ENSMUSG00000077736,0,0,0,0,0,0
ENSMUSG00000103123,208,209,162,62,70,114
ENSMUSG00000103772,437,300,279,164,179,210
ENSMUSG00000053963,54,32,30,2,0,1
ENSMUSG00000104210,0,0,0,0,14,52
ENSMUSG00000102608,0,0,0,35,40,0
ENSMUSG00000045658,6799,4480,9492,4137,5481,5954
ENSMUSG00000050565,2335,2109,2556,1371,1678,1373
ENSMUSG00000102750,840,206,551,316,719,629
ENSMUSG00000101934,252,42,268,0,0,193
ENSMUSG00000098851,125,34,42,126,80,93
ENSMUSG00000015484,0,0,0,49,0,0
ENSMUSG00000048402,0,0,0,0,0,0
ENSMUSG00000098273,0,0,0,0,0,0
ENSMUSG00000097408,0,0,0,4,0,0
ENSMUSG00000096939,0,0,0,0,0,0
ENSMUSG00000100767,0,0,0,0,0,0
ENSMUSG00000099860,0,0,0,0,0,0
ENSMUSG00000101179,30,1,10,7,0,14
ENSMUSG00000037035,0,0,0,0,0,0
ENSMUSG00000036766,0,52,108,64,165,41
ENSMUSG00000104396,0,0,46,0,0,103
ENSMUSG00000102481,0,0,0,52,52,0
ENSMUSG00000005886,1791,1531,2061,1097,1228,844
ENSMUSG00000093254,0,0,0,0,0,0
ENSMUSG00000004451,553,588,630,563,674,309
ENSMUSG00000101437,0,0,0,26,0,0
ENSMUSG00000103506,145,126,227,42,64,118
ENSMUSG00000098447,0,0,0,0,0,0
ENSMUSG00000103495,0,0,0,48,32,64
ENSMUSG00002076346,0,0,0,0,0,0
ENSMUSG00000102639,0,46,0,0,0,0
ENSMUSG00000098923,155,178,169,68,80,398
ENSMUSG00000104170,27,8,127,80,24,1
ENSMUSG00000087782,0,0,40,1,0,0
ENSMUSG00000101731,0,0,0,0,0,0
ENSMUSG00000103085,116,207,116,122,28,60
ENSMUSG00000084505,0,0,0,0,0,0
ENSMUSG00000102664,73,266,110,50,52,170
ENSMUSG00000101476,0,0,0,0,0,0
ENSMUSG00000101171,0,0,0,0,0,44
ENSMUSG00000026496,960,832,632,539,538,621
ENSMUSG00000025935,2717,1984,2414,2415,2062,2981
ENSMUSG00000025937,774,746,481,605,602,967
ENSMUSG00000102982,25,0,0,0,0,0
ENSMUSG00000067813,0,0,0,1,0,0
ENSMUSG00000077368,0,0,0,0,0,0
ENSMUSG00000097711,1,1,0,1,2,0
ENSMUSG00000102166,0,0,0,0,0,0
ENSMUSG00002075174,0,0,0,0,0,0
ENSMUSG00000104209,0,0,0,0,0,0
ENSMUSG00000026219,9304,6505,8609,5647,7739,6211
ENSMUSG00000103505,249,70,49,246,129,34
ENSMUSG00000104503,331,199,234,293,242,113
ENSMUSG00000073633,1,0,0,30,0,12
ENSMUSG00000026220,0,0,25,0,0,20
ENSMUSG00000118590,0,0,0,0,0,0
ENSMUSG00000099693,0,0,0,0,0,0
ENSMUSG00000026104,170,130,168,310,334,468
ENSMUSG00000026383,1,2,34,0,0,0
ENSMUSG00000099569,0,0,30,0,0,72
ENSMUSG00000102687,0,0,0,0,0,0
ENSMUSG00000060743,2087,776,1515,1460,1935,1588
ENSMUSG00000073485,64,52,64,0,0,0
ENSMUSG00000084558,0,0,0,0,0,0
